"Measure","Income bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value_type","Denominator"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","8","%","59004"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","Asian other","ONS 5+2","K02000001","7","%","342"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","Asian","ONS 5+2","K02000001","8","%","2317"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","Bangladeshi","ONS 5+2","K02000001","5","%","206"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","Black","ONS 5+2","K02000001","11","%","1352"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","Chinese","ONS 5+2","K02000001","12","%","209"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","Indian","ONS 5+2","K02000001","6","%","993"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","Mixed","ONS 5+2","K02000001","9","%","471"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","Other","ONS 5+2","K02000001","12","%","465"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","Pakistani","ONS 5+2","K02000001","10","%","567"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","8","%","54399"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","8","%","51964"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2013/14-2015/16","Three-year average","White other","ONS 5+2","K02000001","6","%","2435"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","All","ONS 5+2","K02000001","7","%","58242"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","Asian other","ONS 5+2","K02000001","8","%","353"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","Asian","ONS 5+2","K02000001","8","%","2380"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","K02000001","8","%","234"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","Black","ONS 5+2","K02000001","6","%","1323"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","K02000001","10","%","217"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","Indian","ONS 5+2","K02000001","11","%","991"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","Mixed","ONS 5+2","K02000001","7","%","509"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","Other","ONS 5+2","K02000001","6","%","470"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","K02000001","4","%","585"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","White","ONS 5+2","K02000001","7","%","53560"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","White British","ONS 5+2","K02000001","7","%","51065"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2014/15-2016/17","Three-year average","White other","ONS 5+2","K02000001","8","%","2495"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","All","ONS 5+2","K02000001","5","%","58242"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","Asian other","ONS 5+2","K02000001","7","%","353"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","Asian","ONS 5+2","K02000001","6","%","2380"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","K02000001","4","%","234"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","Black","ONS 5+2","K02000001","4","%","1323"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","K02000001","6","%","217"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","Indian","ONS 5+2","K02000001","8","%","991"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","Mixed","ONS 5+2","K02000001","4","%","509"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","Other","ONS 5+2","K02000001","6","%","470"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","K02000001","5","%","585"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","White","ONS 5+2","K02000001","5","%","53560"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","White British","ONS 5+2","K02000001","5","%","51065"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2014/15-2016/17","Three-year average","White other","ONS 5+2","K02000001","5","%","2495"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","All","ONS 5+2","K02000001","3","%","58242"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","Asian other","ONS 5+2","K02000001","6","%","353"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","Asian","ONS 5+2","K02000001","4","%","2380"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","K02000001","1","%","234"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","Black","ONS 5+2","K02000001","3","%","1323"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","K02000001","3","%","217"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","Indian","ONS 5+2","K02000001","5","%","991"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","Mixed","ONS 5+2","K02000001","3","%","509"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","Other","ONS 5+2","K02000001","4","%","470"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","K02000001","2","%","585"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","White","ONS 5+2","K02000001","3","%","53560"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","White British","ONS 5+2","K02000001","3","%","51065"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2014/15-2016/17","Three-year average","White other","ONS 5+2","K02000001","4","%","2495"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","All","ONS 5+2","K02000001","2","%","58242"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","Asian other","ONS 5+2","K02000001","3","%","353"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","Asian","ONS 5+2","K02000001","3","%","2380"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","K02000001","1","%","234"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","Black","ONS 5+2","K02000001","1","%","1323"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","K02000001","2","%","217"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","Indian","ONS 5+2","K02000001","4","%","991"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","Mixed","ONS 5+2","K02000001","3","%","509"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","Other","ONS 5+2","K02000001","2","%","470"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","K02000001","2","%","585"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","White","ONS 5+2","K02000001","2","%","53560"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","White British","ONS 5+2","K02000001","2","%","51065"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2014/15-2016/17","Three-year average","White other","ONS 5+2","K02000001","3","%","2495"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","All","ONS 5+2","K02000001","2","%","58242"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","Asian other","ONS 5+2","K02000001","3","%","353"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","Asian","ONS 5+2","K02000001","2","%","2380"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","K02000001","2","%","234"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","Black","ONS 5+2","K02000001","1","%","1323"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","K02000001","3","%","217"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","Indian","ONS 5+2","K02000001","2","%","991"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","Mixed","ONS 5+2","K02000001","2","%","509"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","Other","ONS 5+2","K02000001","-","%","470"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","K02000001","1","%","585"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","White","ONS 5+2","K02000001","2","%","53560"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","White British","ONS 5+2","K02000001","2","%","51065"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2014/15-2016/17","Three-year average","White other","ONS 5+2","K02000001","2","%","2495"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","All","ONS 5+2","K02000001","5","%","58242"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","Asian other","ONS 5+2","K02000001","3","%","353"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","Asian","ONS 5+2","K02000001","6","%","2380"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","K02000001","4","%","234"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","Black","ONS 5+2","K02000001","2","%","1323"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","K02000001","8","%","217"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","Indian","ONS 5+2","K02000001","9","%","991"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","Mixed","ONS 5+2","K02000001","4","%","509"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","Other","ONS 5+2","K02000001","6","%","470"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","K02000001","3","%","585"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","White","ONS 5+2","K02000001","5","%","53560"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","White British","ONS 5+2","K02000001","5","%","51065"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2014/15-2016/17","Three-year average","White other","ONS 5+2","K02000001","8","%","2495"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","All","ONS 5+2","K02000001","23","%","58242"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","Asian other","ONS 5+2","K02000001","17","%","353"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","Asian","ONS 5+2","K02000001","16","%","2380"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","K02000001","21","%","234"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","Black","ONS 5+2","K02000001","25","%","1323"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","K02000001","18","%","217"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","Indian","ONS 5+2","K02000001","14","%","991"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","Mixed","ONS 5+2","K02000001","25","%","509"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","Other","ONS 5+2","K02000001","23","%","470"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","K02000001","18","%","585"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","White","ONS 5+2","K02000001","23","%","53560"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","White British","ONS 5+2","K02000001","24","%","51065"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2014/15-2016/17","Three-year average","White other","ONS 5+2","K02000001","18","%","2495"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","All","ONS 5+2","K02000001","19","%","58242"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","Asian other","ONS 5+2","K02000001","20","%","353"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","Asian","ONS 5+2","K02000001","20","%","2380"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","K02000001","28","%","234"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","Black","ONS 5+2","K02000001","21","%","1323"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","K02000001","14","%","217"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","Indian","ONS 5+2","K02000001","17","%","991"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","Mixed","ONS 5+2","K02000001","19","%","509"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","Other","ONS 5+2","K02000001","21","%","470"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","K02000001","25","%","585"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","White","ONS 5+2","K02000001","19","%","53560"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","White British","ONS 5+2","K02000001","19","%","51065"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2014/15-2016/17","Three-year average","White other","ONS 5+2","K02000001","19","%","2495"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","All","ONS 5+2","K02000001","14","%","58242"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","Asian other","ONS 5+2","K02000001","16","%","353"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","Asian","ONS 5+2","K02000001","16","%","2380"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","K02000001","20","%","234"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","Black","ONS 5+2","K02000001","16","%","1323"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","K02000001","13","%","217"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","Indian","ONS 5+2","K02000001","15","%","991"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","Mixed","ONS 5+2","K02000001","16","%","509"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","Other","ONS 5+2","K02000001","14","%","470"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","K02000001","19","%","585"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","White","ONS 5+2","K02000001","14","%","53560"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","White British","ONS 5+2","K02000001","14","%","51065"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2014/15-2016/17","Three-year average","White other","ONS 5+2","K02000001","16","%","2495"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","All","ONS 5+2","K02000001","10","%","58242"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","Asian other","ONS 5+2","K02000001","11","%","353"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","Asian","ONS 5+2","K02000001","11","%","2380"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","K02000001","7","%","234"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","Black","ONS 5+2","K02000001","10","%","1323"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","K02000001","13","%","217"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","Indian","ONS 5+2","K02000001","11","%","991"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","Mixed","ONS 5+2","K02000001","10","%","509"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","Other","ONS 5+2","K02000001","10","%","470"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","K02000001","10","%","585"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","White","ONS 5+2","K02000001","10","%","53560"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","White British","ONS 5+2","K02000001","10","%","51065"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2014/15-2016/17","Three-year average","White other","ONS 5+2","K02000001","10","%","2495"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","All","ONS 5+2","K02000001","8","%","58242"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","Asian other","ONS 5+2","K02000001","6","%","353"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","Asian","ONS 5+2","K02000001","7","%","2380"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","Bangladeshi","ONS 5+2","K02000001","4","%","234"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","Black","ONS 5+2","K02000001","11","%","1323"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","Chinese","ONS 5+2","K02000001","10","%","217"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","Indian","ONS 5+2","K02000001","5","%","991"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","Mixed","ONS 5+2","K02000001","8","%","509"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","Other","ONS 5+2","K02000001","8","%","470"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","Pakistani","ONS 5+2","K02000001","10","%","585"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","White","ONS 5+2","K02000001","7","%","53560"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","White British","ONS 5+2","K02000001","8","%","51065"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2014/15-2016/17","Three-year average","White other","ONS 5+2","K02000001","6","%","2495"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","All","ONS 5+2","K02000001","8","%","57814"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","Asian other","ONS 5+2","K02000001","8","%","361"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","Asian","ONS 5+2","K02000001","9","%","2391"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","K02000001","9","%","243"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","Black","ONS 5+2","K02000001","6","%","1288"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","Chinese","ONS 5+2","K02000001","8","%","215"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","Indian","ONS 5+2","K02000001","12","%","976"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","Mixed","ONS 5+2","K02000001","7","%","499"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","Other","ONS 5+2","K02000001","8","%","490"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","Pakistani","ONS 5+2","K02000001","6","%","596"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","White","ONS 5+2","K02000001","8","%","53146"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","White British","ONS 5+2","K02000001","8","%","50523"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2015/16-2017/18","Three-year average","White other","ONS 5+2","K02000001","8","%","2623"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","All","ONS 5+2","K02000001","5","%","57814"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","Asian other","ONS 5+2","K02000001","5","%","361"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","Asian","ONS 5+2","K02000001","6","%","2391"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","Bangladeshi","ONS 5+2","K02000001","4","%","243"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2015/16-2017/18","Three-year average","Black","ONS 5+2","K02000001","4","%","1288"
